# Saarthi dynamic block geography — India-wide LGD registry.
# GENERATED by scripts/build_india_blocks.py — do not hand-edit rows.
# Hierarchy + LGD codes: Ministry of Panchayati Raj LGD block table via the
# India Data Portal CKAN mirror (ODbL):
# https://ckandev.indiadataportal.com/dataset/lgd-codes (block-lgd-codes.csv).
# Coordinates: Sangrur/Malerkotla seed rows are Bhuvan polygon bbox-centres
# (location_method=bhuvan_polygon_centroid); rows joined to the bharatlas
# LGD block polygons use true polygon bbox-centres
# (location_method=polygon_centroid); the small remainder without polygons
# uses Open-Meteo geocoding town locations accepted ONLY on admin1
# (state) match (location_method=geocoded_centroid). Per-row queries in
# data/processed/geography/blocks_build.json. Rows without verified
# coordinates are DROPPED (never invented) — see skipped list there.
# Legacy deviations: 'Moonak' keeps Bhuvan ID bhuvan_b_274 (no current LGD
# development-block entry); legacy 'Lehra' = LGD 'Lehragaga' (344).
state_code,state_name,district_code,district_name,block_code,block_name,latitude,longitude,location_method
1,Jammu and Kashmir,2,Budgam,6921,Soibugh,34.07255,74.70997,polygon_centroid
1,Jammu and Kashmir,2,Budgam,6922,Rathsun,34.04207,74.58851,polygon_centroid
1,Jammu and Kashmir,2,Budgam,6923,S K Pora,34.07108,74.61901,polygon_centroid
1,Jammu and Kashmir,3,Baramulla,22,Baramulla,34.21323,74.3691,polygon_centroid
1,Jammu and Kashmir,3,Baramulla,23,Boniyar,34.14595,74.11021,polygon_centroid
1,Jammu and Kashmir,3,Baramulla,26,Kunzer,34.08157,74.48236,polygon_centroid
1,Jammu and Kashmir,3,Baramulla,27,Pattan,34.14908,74.53198,polygon_centroid
1,Jammu and Kashmir,3,Baramulla,28,Rafiabad,34.3076,74.25257,polygon_centroid
1,Jammu and Kashmir,3,Baramulla,29,Rohama,34.26067,74.30888,polygon_centroid
1,Jammu and Kashmir,3,Baramulla,30,Singhpora,34.16523,74.63922,polygon_centroid
1,Jammu and Kashmir,3,Baramulla,31,Sopore,34.2828,74.47472,polygon_centroid
1,Jammu and Kashmir,3,Baramulla,33,Tangmarag,34.00547,74.39183,polygon_centroid
1,Jammu and Kashmir,3,Baramulla,34,Uri,34.07956,74.0189,polygon_centroid
1,Jammu and Kashmir,3,Baramulla,35,Wagoora,34.12678,74.37332,polygon_centroid
1,Jammu and Kashmir,3,Baramulla,36,Zaingeer,34.36934,74.47664,polygon_centroid
1,Jammu and Kashmir,3,Baramulla,7006,Bijhama,34.17637,74.09535,polygon_centroid
