forecast_date,split,lead_day,block,forecast_target_date,forecast_rainfall_mm,valid_pixel_count,source,product,statistic,init_time,member_count,mean_source,model_era
2026-09-14,live,3,Malerkotla,2026-09-17,0.820159912109375,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,3,Moonak,2026-09-17,0.6866455078125,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,3,Sangrur,2026-09-17,0.7343292236328125,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,3,Sunam,2026-09-17,0.67901611328125,5,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,4,Dhuri,2026-09-18,0.820159912109375,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,4,Lehra,2026-09-18,0.08138020833333333,3,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,4,Malerkotla,2026-09-18,1.0528564453125,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,4,Moonak,2026-09-18,0.091552734375,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,4,Sangrur,2026-09-18,0.823974609375,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,4,Sunam,2026-09-18,0.360107421875,5,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,5,Dhuri,2026-09-19,0.0152587890625,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,5,Lehra,2026-09-19,0.1068115234375,3,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,5,Malerkotla,2026-09-19,0.06866455078125,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,5,Moonak,2026-09-19,0.1220703125,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,5,Sangrur,2026-09-19,0.030517578125,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,5,Sunam,2026-09-19,0.030517578125,5,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,6,Dhuri,2026-09-20,0.00762939453125,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,6,Lehra,2026-09-20,0.005086263020833333,3,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,6,Malerkotla,2026-09-20,0.019073486328125,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,6,Moonak,2026-09-20,0.003814697265625,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,6,Sangrur,2026-09-20,0.00762939453125,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,6,Sunam,2026-09-20,0.0091552734375,5,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,7,Dhuri,2026-09-21,0.0,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,7,Lehra,2026-09-21,0.0,3,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,7,Malerkotla,2026-09-21,0.0,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,7,Moonak,2026-09-21,0.0,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,7,Sangrur,2026-09-21,0.0,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,7,Sunam,2026-09-21,0.0,5,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
