forecast_date,split,lead_day,block,forecast_target_date,forecast_rainfall_mm,valid_pixel_count,source_issue,source_target,target_7d_rainfall_mm
2019-09-04,train,7,Sangrur,2019-09-11,1.3174302194799696,28,2019.09.04,2019.09.11,11.1115646125505
2019-09-04,train,7,Sunam,2019-09-11,0.9152890422514508,28,2019.09.04,2019.09.11,9.705225599453824
2016-06-06,train,1,Dhuri,2016-06-07,0.0,22,2016.06.06,2016.06.07,1.8275881843561632
2016-06-06,train,1,Lehra,2016-06-07,0.0,16,2016.06.06,2016.06.07,2.0433231893203416
2016-06-06,train,1,Malerkotla,2016-06-07,0.0,28,2016.06.06,2016.06.07,1.4748332011646113
2016-06-06,train,1,Moonak,2016-06-07,0.0,12,2016.06.06,2016.06.07,1.963658358596141
2016-06-06,train,1,Sangrur,2016-06-07,0.0,28,2016.06.06,2016.06.07,1.7337259944620178
2016-06-06,train,1,Sunam,2016-06-07,0.0,28,2016.06.06,2016.06.07,1.5090596670017855
2016-06-06,train,2,Dhuri,2016-06-08,0.0180760858665135,22,2016.06.06,2016.06.08,1.8275881843561632
2016-06-06,train,2,Lehra,2016-06-08,0.0889691563788801,16,2016.06.06,2016.06.08,2.0433231893203416
2016-06-06,train,2,Malerkotla,2016-06-08,0.0133470120573682,28,2016.06.06,2016.06.08,1.4748332011646113
2016-06-06,train,2,Moonak,2016-06-08,0.1010956605896353,12,2016.06.06,2016.06.08,1.963658358596141
2016-06-06,train,2,Sangrur,2016-06-08,0.02068218369303,28,2016.06.06,2016.06.08,1.7337259944620178
2016-06-06,train,2,Sunam,2016-06-08,0.0267859339447958,28,2016.06.06,2016.06.08,1.5090596670017855
2016-06-06,train,3,Dhuri,2016-06-09,0.0358292742378332,22,2016.06.06,2016.06.09,1.8275881843561632
2016-06-06,train,3,Lehra,2016-06-09,0.0760419894941151,16,2016.06.06,2016.06.09,2.0433231893203416
2016-06-06,train,3,Malerkotla,2016-06-09,0.016534086034101,28,2016.06.06,2016.06.09,1.4748332011646113
2016-06-06,train,3,Moonak,2016-06-09,0.0810383111238479,12,2016.06.06,2016.06.09,1.963658358596141
2016-06-06,train,3,Sangrur,2016-06-09,0.0747172143310308,28,2016.06.06,2016.06.09,1.7337259944620178
2016-06-06,train,3,Sunam,2016-06-09,0.0848459964618086,28,2016.06.06,2016.06.09,1.5090596670017855
2016-06-06,train,4,Dhuri,2016-06-10,3.008933273228732,22,2016.06.06,2016.06.10,1.8275881843561632
2016-06-06,train,4,Lehra,2016-06-10,2.510859251022339,16,2016.06.06,2016.06.10,2.0433231893203416
2016-06-06,train,4,Malerkotla,2016-06-10,3.1412663630076816,28,2016.06.06,2016.06.10,1.4748332011646113
2016-06-06,train,4,Moonak,2016-06-10,2.236680249373118,12,2016.06.06,2016.06.10,1.963658358596141
2016-06-06,train,4,Sangrur,2016-06-10,3.1801284551620483,28,2016.06.06,2016.06.10,1.7337259944620178
2016-06-06,train,4,Sunam,2016-06-10,2.9481504389217923,28,2016.06.06,2016.06.10,1.5090596670017855
2016-06-06,train,5,Dhuri,2016-06-11,1.09848044406284,22,2016.06.06,2016.06.11,1.8275881843561632
2016-06-06,train,5,Lehra,2016-06-11,3.251995414495468,16,2016.06.06,2016.06.11,2.0433231893203416
2016-06-06,train,5,Malerkotla,2016-06-11,0.862748173730714,28,2016.06.06,2016.06.11,1.4748332011646113
2016-06-06,train,5,Moonak,2016-06-11,3.871201515197754,12,2016.06.06,2016.06.11,1.963658358596141
