forecast_date,lead_day,block,forecast_target_date,forecast_rainfall_mm,valid_pixel_count,source_file,source_date,target_7d_rainfall_mm,target_start,target_end,target_d1_mm,target_d2_mm,target_d3_mm,target_d4_mm,target_d5_mm,target_d6_mm,target_d7_mm
2009-12-31,1,Malerkotla,2009-12-31,0.0,28,c3g_2009.12.31.tif,2009.12.31,1.3970225509318224,2010-01-01,2010-01-07,0.0,1.937683570469333e-05,1.396996005593489,7.168502628744699e-06,0.0,0.0,0.0
2009-12-31,1,Moonak,2009-12-31,0.0,12,c3g_2009.12.31.tif,2009.12.31,0.391119246105383,2010-01-01,2010-01-07,0.0,0.0204995465310212,0.3706196995743618,0.0,0.0,0.0,0.0
2009-12-31,1,Sangrur,2009-12-31,0.0,28,c3g_2009.12.31.tif,2009.12.31,1.3126518872881872,2010-01-01,2010-01-07,0.0,0.0012439823136226,1.3114079049745646,0.0,0.0,0.0,0.0
2009-12-31,1,Sunam,2009-12-31,0.0,28,c3g_2009.12.31.tif,2009.12.31,0.4106174923763836,2010-01-01,2010-01-07,0.0,0.0024632835179123,0.4081542088584713,0.0,0.0,0.0,0.0
2010-01-01,1,Dhuri,2010-01-01,0.0,22,c3g_2010.01.01.tif,2010.01.01,0.7985316558387412,2010-01-02,2010-01-08,0.0002889147932187894,0.798230208552751,1.2532492771417664e-05,0.0,0.0,0.0,0.0
2010-01-01,1,Lehra,2010-01-01,0.0,16,c3g_2010.01.01.tif,2010.01.01,0.1772209474096287,2010-01-02,2010-01-08,0.0050809842745055,0.1721399631351232,0.0,0.0,0.0,0.0,0.0
2010-01-01,1,Malerkotla,2010-01-01,0.0,28,c3g_2010.01.01.tif,2010.01.01,1.3970225509318224,2010-01-02,2010-01-08,1.937683570469333e-05,1.396996005593489,7.168502628744699e-06,0.0,0.0,0.0,0.0
2010-01-01,1,Moonak,2010-01-01,0.0,12,c3g_2010.01.01.tif,2010.01.01,0.391119246105383,2010-01-02,2010-01-08,0.0204995465310212,0.3706196995743618,0.0,0.0,0.0,0.0,0.0
2010-01-01,1,Sangrur,2010-01-01,0.0,28,c3g_2010.01.01.tif,2010.01.01,1.3126518872881872,2010-01-02,2010-01-08,0.0012439823136226,1.3114079049745646,0.0,0.0,0.0,0.0,0.0
2010-01-01,1,Sunam,2010-01-01,0.0,28,c3g_2010.01.01.tif,2010.01.01,0.4106174923763836,2010-01-02,2010-01-08,0.0024632835179123,0.4081542088584713,0.0,0.0,0.0,0.0,0.0
2010-01-02,1,Dhuri,2010-01-02,0.0,22,c3g_2010.01.02.tif,2010.01.02,0.7982427410455224,2010-01-03,2010-01-09,0.798230208552751,1.2532492771417664e-05,0.0,0.0,0.0,0.0,0.0
2010-01-02,1,Lehra,2010-01-02,0.0,16,c3g_2010.01.02.tif,2010.01.02,0.1721399631351232,2010-01-03,2010-01-09,0.1721399631351232,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-02,1,Malerkotla,2010-01-02,0.0,28,c3g_2010.01.02.tif,2010.01.02,1.3970031740961177,2010-01-03,2010-01-09,1.396996005593489,7.168502628744699e-06,0.0,0.0,0.0,0.0,0.0
2010-01-02,1,Moonak,2010-01-02,0.0,12,c3g_2010.01.02.tif,2010.01.02,0.3706196995743618,2010-01-03,2010-01-09,0.3706196995743618,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-02,1,Sangrur,2010-01-02,0.0,28,c3g_2010.01.02.tif,2010.01.02,1.3114079049745646,2010-01-03,2010-01-09,1.3114079049745646,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-02,1,Sunam,2010-01-02,0.0,28,c3g_2010.01.02.tif,2010.01.02,0.4081542088584713,2010-01-03,2010-01-09,0.4081542088584713,0.0,0.0,0.0,0.0,0.0,0.0
