forecast_date,block,gefs_d1,gefs_d2,gefs_d3,gefs_d4,gefs_d5,gefs_d6,gefs_d7,rain_1d,rain_3d,rain_7d,rain_14d,rain_30d,rain_lag_1,rain_lag_2,rain_lag_3,rain_lag_4,rain_lag_5,rain_lag_6,rain_lag_7,enso_value,sin_day_of_year,cos_day_of_year,soil_clay,soil_sand,soil_silt,soil_soc,soil_ph,latitude,longitude,target_7d_rainfall_mm
2010-07-15,Malerkotla,0.0,,,,,,,0.5851245110987554,8.392212124692188,46.05828941504782,114.92290000683585,135.3758112145196,0.4095971584541812,7.397490455139252,18.75198607785361,17.744525953133902,0.6718461687854004,0.4977190905827143,1.1574388428812936,-0.69,-0.2135209154397959,-0.9769384927771817,292.24928703237714,292.9849018621037,385.5811105519208,12.779374266062742,7.658152994464016,30.539499006369564,75.8914762749067,73.78426230141362
2010-07-15,Moonak,0.0008627500695486,,,,,,,0.0837682820636139,1.150677122624572,12.441745361616823,90.26318431424,90.72389197728691,0.3140639534211082,0.75284488713985,9.919279948558268,0.8172819088020269,0.2378835899814475,0.3166227916505081,0.7177424044010139,-0.69,-0.2135209154397959,-0.9769384927771817,246.17985720795988,415.1828953364727,316.90110891690716,10.861537293027494,7.851496278292572,29.81897895650148,75.96098934604422,62.798805409322
2010-07-15,Sangrur,0.0,,,,,,,0.4624636782641233,3.398141860838821,32.94197580537778,122.61376937148559,138.02915058413006,0.3897148249083259,2.545963357666372,19.37008591003438,8.92546131078329,0.6288111865979901,0.6194755371233042,1.2586555118343368,-0.69,-0.2135209154397959,-0.9769384927771817,273.19281788200806,331.9454745327959,362.60872114327594,12.245415903261268,7.69876877977281,30.237506740292186,75.89485210041725,72.80684649082067
2010-07-15,Sunam,0.0,,,,,,,0.1839467789767446,2.5736420301781635,21.84164664026098,100.99873501479865,107.86116481423939,0.3514818117087846,2.038213439492634,15.348394792267127,3.2397903725653365,0.3180752967661107,0.3617441484842451,0.7173000376657199,-0.69,-0.2135209154397959,-0.9769384927771817,264.08,368.5585046728972,339.69667289719627,12.158168224299065,7.7732261682243,30.080899456897395,75.86094105222081,71.5733032729801
2019-09-04,Dhuri,2.649181019176136,,,,,,,18.242003875553497,23.366912473725037,51.528971088886834,60.01015460721163,230.52379980734474,1.724411200121664,3.4004973980498754,14.597460646762237,6.679687872377082,2.6796701380908297,4.205239957931656,0.6857720070324186,0.04,-0.888057322629493,-0.4597327394521046,271.60486263999235,323.33339714750645,377.0146453527328,12.650196228582368,7.703675696372164,30.395236358640826,75.80313990230327,10.37855344643832
2019-09-04,Lehra,1.52329808101058,,,,,,,5.860272985038789,11.288052025002688,27.570487273898525,42.399287697462995,156.53291974716396,1.9668565716053124,3.460922468358588,12.615905017068942,2.342842196626925,0.793471751664071,0.5302162835358966,0.177056917327719,0.04,-0.888057322629493,-0.4597327394521046,254.91306981674995,414.3031955171892,309.57352718461306,11.039694078449191,7.871361502347417,29.937095996137337,75.81171596771253,10.751353417509446
2019-09-04,Malerkotla,3.5131907037326267,,,,,,,25.360011689435865,31.794104131550657,55.892094655698614,62.45893473975066,244.7140174934113,2.8231938227301554,3.610898619384638,15.59754955882118,3.788682796770619,1.5666318165581852,3.145126351997966,0.3000931372533419,0.04,-0.888057322629493,-0.4597327394521046,292.24928703237714,292.9849018621037,385.5811105519208,12.779374266062742,7.658152994464016,30.539499006369564,75.8914762749067,10.31244105943146
2019-09-04,Moonak,1.827933649222056,,,,,,,6.553912979483028,14.387988756233934,26.498657738640382,46.741760513093794,157.06923176970457,2.1592167752157176,5.674859001535188,11.719791671292258,0.2448693640247557,0.0837798488034299,0.0622280982860041,0.0207963072617311,0.04,-0.888057322629493,-0.4597327394521046,246.17985720795988,415.1828953364727,316.90110891690716,10.861537293027494,7.851496278292572,29.81897895650148,75.96098934604422,10.607758477505175
2019-09-04,Sangrur,2.499116974217551,,,,,,,17.530564222624882,24.583604313244166,51.93860123901726,78.3190983403496,247.43713575307632,1.9635515123144367,5.089488578304848,10.263290970629738,8.19693413242277,3.702221973705031,5.192549849015552,1.4895247194745906,0.04,-0.888057322629493,-0.4597327394521046,273.19281788200806,331.9454745327959,362.60872114327594,12.245415903261268,7.69876877977281,30.237506740292186,75.89485210041725,11.1115646125505
2019-09-04,Sunam,2.00179495556014,,,,,,,9.86017501960796,15.628831020449365,39.69089453211182,61.77233142082762,206.8087052203234,2.1350546136104493,3.633601387230956,13.052853266018012,6.527201707008051,2.2649666106414235,2.2170419279949694,0.6824938399479402,0.04,-0.888057322629493,-0.4597327394521046,264.08,368.5585046728972,339.69667289719627,12.158168224299065,7.7732261682243,30.080899456897395,75.86094105222081,9.705225599453824
2025-08-01,Dhuri,14.59963356364857,,,,,,,13.289088592145983,42.545842693745094,61.38568493410351,103.56753457172948,219.72305533398492,26.27287764973904,2.9838764518600684,14.772862791204687,1.8848288508194155,1.5650526261720674,0.6170979721622352,1.328380232427414,-0.14,-0.4862727071086902,-0.8738071036110807,271.60486263999235,323.33339714750645,377.0146453527328,12.650196228582368,7.703675696372164,30.395236358640826,75.80313990230327,7.344252474764617
2025-08-01,Lehra,11.42333608865738,,,,,,,7.436423523401079,42.419473910888875,59.014601968731135,81.68978933554634,178.13932448644113,30.146022746424,4.837027641063797,13.426619823792914,1.426846314943064,1.2880086528656145,0.4536532662406647,0.3802922283757798,-0.14,-0.4862727071086902,-0.8738071036110807,254.91306981674995,414.3031955171892,309.57352718461306,11.039694078449191,7.871361502347417,29.937095996137337,75.81171596771253,9.540942874462663
2025-08-01,Malerkotla,15.536925077438354,,,,,,,11.386407859707695,46.79516495141156,76.06401069200197,129.0039546298085,250.03695596521888,30.912548242012654,4.49620884969121,21.27144425412019,3.315774956345559,3.6022542632761456,1.079372266848527,1.3833317870185489,-0.14,-0.4862727071086902,-0.8738071036110807,292.24928703237714,292.9849018621037,385.5811105519208,12.779374266062742,7.658152994464016,30.539499006369564,75.8914762749067,8.34262983284314
2025-08-01,Moonak,10.816149552663168,,,,,,,5.627485489640076,39.90342888010004,58.73851368190334,74.0685239695659,153.5674778394645,27.994562144943824,6.281381245516141,15.018369212979078,1.855754119917679,1.614615617451199,0.3463458514553428,0.2105547742794893,-0.14,-0.4862727071086902,-0.8738071036110807,246.17985720795988,415.1828953364727,316.90110891690716,10.861537293027494,7.851496278292572,29.81897895650148,75.96098934604422,15.2254156889925
2025-08-01,Sangrur,15.098113536834717,,,,,,,20.76850942307987,51.339784434624235,69.037415107583,109.47680784324729,224.18616348850026,28.09427759751893,2.476997414025434,14.46304517271802,1.581970158666353,1.2660816465674691,0.3865336950069225,0.8057989414839003,-0.14,-0.4862727071086902,-0.8738071036110807,273.19281788200806,331.9454745327959,362.60872114327594,12.245415903261268,7.69876877977281,30.237506740292186,75.89485210041725,12.596578953372124
2025-08-01,Sunam,13.515436172485352,,,,,,,14.377143678602447,44.604301850824584,62.21493261742121,96.4834482623345,202.0529753160603,27.10094205826676,3.126216113955374,14.702062586919558,1.4243011723259025,1.233579066770714,0.2506879405804613,0.6591415400838923,-0.14,-0.4862727071086902,-0.8738071036110807,264.08,368.5585046728972,339.69667289719627,12.158168224299065,7.7732261682243,30.080899456897395,75.86094105222081,12.808431879365978
