block,start,end,duration,jjas,train,eval_period
Malerkotla,2020-06-01,2020-06-20,20,1,0,0
Malerkotla,2020-06-26,2020-07-02,7,1,0,0
Malerkotla,2020-08-21,2020-08-25,5,1,0,0
Malerkotla,2020-09-07,2020-09-15,9,1,0,0
Malerkotla,2020-09-27,2020-11-14,49,1,0,0
Malerkotla,2020-11-17,2020-12-26,40,0,0,0
Malerkotla,2020-12-28,2021-03-11,74,0,0,0
Malerkotla,2021-03-13,2021-03-21,9,0,0,1
Malerkotla,2021-03-24,2021-04-05,13,0,0,1
Malerkotla,2021-04-07,2021-04-16,10,0,0,1
Malerkotla,2021-05-01,2021-05-05,5,0,0,1
Malerkotla,2021-05-14,2021-05-28,15,0,0,1
Malerkotla,2021-06-01,2021-06-05,5,1,0,1
Malerkotla,2021-06-16,2021-06-25,10,1,0,1
Malerkotla,2021-06-27,2021-07-01,5,1,0,1
Malerkotla,2021-08-06,2021-08-19,14,1,0,1
Malerkotla,2021-08-23,2021-08-30,8,1,0,1
Malerkotla,2021-09-24,2021-09-29,6,1,0,1
Malerkotla,2021-10-07,2021-10-22,16,0,0,1
Malerkotla,2021-10-25,2021-12-02,39,0,0,1
Malerkotla,2021-12-06,2022-01-03,29,0,0,1
Malerkotla,2022-01-10,2022-01-18,9,0,0,1
Malerkotla,2022-01-20,2022-03-06,46,0,0,1
Malerkotla,2022-03-08,2022-05-20,74,0,0,1
Malerkotla,2022-05-31,2022-06-29,30,0,0,1
Malerkotla,2022-10-02,2022-10-07,6,0,0,1
Malerkotla,2022-10-12,2023-01-02,83,0,0,1
Malerkotla,2023-01-04,2023-01-08,5,0,0,1
Malerkotla,2023-01-11,2023-02-27,48,0,0,1
Malerkotla,2023-03-01,2023-03-16,16,0,0,1
Malerkotla,2023-03-26,2023-03-31,6,0,0,1
Malerkotla,2023-04-04,2023-04-17,14,0,0,1
Malerkotla,2023-04-21,2023-04-30,10,0,0,1
Malerkotla,2023-05-06,2023-05-15,10,0,0,1
Malerkotla,2023-06-11,2023-06-24,14,1,0,1
Malerkotla,2023-08-06,2023-08-15,10,1,0,1
Malerkotla,2023-08-28,2023-09-04,8,1,0,1
Malerkotla,2023-10-01,2023-10-08,8,0,0,1
Malerkotla,2023-10-17,2023-11-09,24,0,0,1
Malerkotla,2023-11-12,2023-11-26,15,0,0,1
Malerkotla,2023-12-01,2024-02-10,72,0,0,1
Malerkotla,2024-02-16,2024-02-26,11,0,0,1
Malerkotla,2024-03-03,2024-03-28,26,0,0,1
Malerkotla,2024-04-01,2024-04-14,14,0,0,1
Malerkotla,2024-04-16,2024-05-03,18,0,0,1
Malerkotla,2024-05-05,2024-05-09,5,0,0,1
Malerkotla,2024-05-11,2024-06-28,49,0,0,1
Malerkotla,2024-08-06,2024-08-10,5,1,0,1
Malerkotla,2024-09-20,2024-09-24,5,1,0,1
Malerkotla,2024-09-29,2024-10-04,6,1,0,1
Malerkotla,2024-10-07,2024-12-26,81,0,0,1
Malerkotla,2024-12-28,2025-01-04,8,0,0,1
Malerkotla,2025-01-06,2025-02-18,44,0,0,1
Malerkotla,2025-03-01,2025-05-01,62,0,0,1
Malerkotla,2025-05-05,2025-05-24,20,0,0,1
Malerkotla,2025-05-26,2025-06-12,18,0,0,1
Malerkotla,2025-06-14,2025-06-20,7,1,0,1
Malerkotla,2025-09-22,2025-09-28,7,1,0,1
Malerkotla,2025-09-30,2025-10-04,5,1,0,1
Malerkotla,2025-10-08,2025-12-31,85,0,0,1
Moonak,2010-01-01,2010-02-07,38,0,1,0
Moonak,2010-02-10,2010-02-21,12,0,1,0
Moonak,2010-02-24,2010-04-26,62,0,1,0
Moonak,2010-05-01,2010-06-02,33,0,1,0
Moonak,2010-06-08,2010-07-02,25,1,1,0
Moonak,2010-09-25,2010-10-03,9,1,1,0
Moonak,2010-10-05,2010-10-09,5,0,1,0
Moonak,2010-10-11,2010-10-30,20,0,1,0
Moonak,2010-11-01,2010-12-28,58,0,1,0
Moonak,2010-12-31,2011-02-15,47,0,1,0
Moonak,2011-02-26,2011-04-15,49,0,1,0
Moonak,2011-04-19,2011-05-19,31,0,1,0
Moonak,2011-05-27,2011-06-20,25,0,1,0
Moonak,2011-07-17,2011-07-22,6,1,1,0
Moonak,2011-08-01,2011-08-05,5,1,1,0
Moonak,2011-08-11,2011-08-19,9,1,1,0
Moonak,2011-10-03,2011-10-07,5,0,1,0
Moonak,2011-10-09,2012-02-19,134,0,1,0
Moonak,2012-02-21,2012-03-25,34,0,1,0
Moonak,2012-03-27,2012-04-08,13,0,1,0
Moonak,2012-04-21,2012-05-06,16,0,1,0
Moonak,2012-05-09,2012-07-06,59,0,1,0
Moonak,2012-07-21,2012-07-28,8,1,1,0
Moonak,2012-10-01,2012-10-09,9,0,1,0
Moonak,2012-10-16,2012-10-22,7,0,1,0
Moonak,2012-10-24,2013-01-15,84,0,1,0
Moonak,2013-01-19,2013-02-02,15,0,1,0
Moonak,2013-02-06,2013-02-14,9,0,1,0
Moonak,2013-02-24,2013-03-12,17,0,1,0
Moonak,2013-03-15,2013-03-22,8,0,1,0
Moonak,2013-03-31,2013-04-13,14,0,1,0
Moonak,2013-04-15,2013-06-06,53,0,1,0
Moonak,2013-06-16,2013-06-30,15,1,1,0
Moonak,2013-08-26,2013-08-31,6,1,1,0
Moonak,2013-10-05,2013-10-09,5,0,1,0
Moonak,2013-10-11,2013-11-06,27,0,1,0
Moonak,2013-11-08,2014-01-16,70,0,1,0
Moonak,2014-01-23,2014-01-31,9,0,1,0
Moonak,2014-02-06,2014-03-08,31,0,1,0
Moonak,2014-03-11,2014-03-23,13,0,1,0
Moonak,2014-03-26,2014-04-11,17,0,1,0
Moonak,2014-04-20,2014-05-02,13,0,1,0
Moonak,2014-05-06,2014-05-10,5,0,1,0
Moonak,2014-05-13,2014-05-22,10,0,1,0
Moonak,2014-06-02,2014-07-01,30,1,1,0
Moonak,2014-07-04,2014-07-13,10,1,1,0
Moonak,2014-08-06,2014-08-30,25,1,1,0
Moonak,2014-09-22,2014-09-29,8,1,1,0
Moonak,2014-10-02,2014-10-06,5,0,1,0
Moonak,2014-10-08,2014-10-12,5,0,1,0
Moonak,2014-10-15,2014-12-12,59,0,1,0
Moonak,2014-12-14,2015-02-01,50,0,1,0
Moonak,2015-02-04,2015-02-23,20,0,1,0
Moonak,2015-03-09,2015-03-13,5,0,1,0
Moonak,2015-03-16,2015-03-28,13,0,1,0
Moonak,2015-04-05,2015-04-10,6,0,1,0
Moonak,2015-04-20,2015-04-26,7,0,1,0
Moonak,2015-04-28,2015-05-05,8,0,1,0
Moonak,2015-05-07,2015-05-17,11,0,1,0
Moonak,2015-05-19,2015-06-22,35,0,1,0
Moonak,2015-06-26,2015-07-05,10,1,1,0
Moonak,2015-07-21,2015-07-25,5,1,1,0
Moonak,2015-09-07,2015-09-14,8,1,1,0
Moonak,2015-09-28,2015-10-06,9,1,1,0
Moonak,2015-10-08,2015-10-13,6,0,1,0
Moonak,2015-10-15,2015-10-24,10,0,1,0
Moonak,2015-10-27,2016-02-19,116,0,1,0
Moonak,2016-02-21,2016-03-04,13,0,1,0
Moonak,2016-03-06,2016-03-10,5,0,1,0
Moonak,2016-03-14,2016-04-03,21,0,1,0
Moonak,2016-04-05,2016-05-02,28,0,1,0
Moonak,2016-05-06,2016-05-20,15,0,1,0
Moonak,2016-05-31,2016-06-13,14,0,1,0
Moonak,2016-06-21,2016-06-25,5,1,1,0
Moonak,2016-07-19,2016-07-25,7,1,1,0
Moonak,2016-09-09,2016-09-13,5,1,1,0
Moonak,2016-10-10,2017-01-24,107,0,1,0
Moonak,2017-01-27,2017-02-03,8,0,1,0
Moonak,2017-02-05,2017-02-19,15,0,1,0
Moonak,2017-02-21,2017-04-03,42,0,1,0
Moonak,2017-04-06,2017-05-09,34,0,1,0
Moonak,2017-05-11,2017-05-26,16,0,1,0
Moonak,2017-06-01,2017-06-06,6,1,1,0
Moonak,2017-06-09,2017-06-16,8,1,1,0
Moonak,2017-06-21,2017-06-25,5,1,1,0
Moonak,2017-07-01,2017-07-06,6,1,1,0
Moonak,2017-08-11,2017-08-20,10,1,1,0
Moonak,2017-09-17,2017-09-21,5,1,1,0
Moonak,2017-09-24,2017-11-30,68,1,1,0
Moonak,2017-12-06,2018-02-10,67,0,1,0
Moonak,2018-02-13,2018-04-09,56,0,1,0
Moonak,2018-04-11,2018-04-30,20,0,1,0
Moonak,2018-05-10,2018-06-05,27,0,1,0
Moonak,2018-06-11,2018-06-25,15,1,1,0
Moonak,2018-07-05,2018-07-10,6,1,1,0
Moonak,2018-10-04,2018-10-09,6,0,1,0
Moonak,2018-10-11,2019-01-04,86,0,1,0
Moonak,2019-01-06,2019-01-11,6,0,1,0
Moonak,2019-01-14,2019-01-19,6,0,1,0
Moonak,2019-01-23,2019-01-30,8,0,1,0
Moonak,2019-02-01,2019-02-12,12,0,1,0
Moonak,2019-02-21,2019-02-25,5,0,1,0
Moonak,2019-03-05,2019-03-10,6,0,1,0
Moonak,2019-03-15,2019-04-12,29,0,1,0
Moonak,2019-04-18,2019-05-09,22,0,1,0
Moonak,2019-05-18,2019-05-22,5,0,1,0
Moonak,2019-05-24,2019-07-06,44,0,1,0
Moonak,2019-08-06,2019-08-11,6,1,1,0
Moonak,2019-08-26,2019-08-31,6,1,1,0
Moonak,2019-10-08,2019-11-06,30,0,1,0
Moonak,2019-11-08,2019-11-14,7,0,1,0
