issue,offset,block,phase,amp,active,jjas,anom_mm,expected_mm,pct
2018-04-22,3,Moonak,3,0.37842813,False,0,0.2881052659166574,1.8628999999999998,15.465417677634733
2018-04-22,3,Sangrur,3,0.37842813,False,0,-1.5303074627304727,1.8109,-84.50535439452608
2018-04-22,3,Sunam,3,0.37842813,False,0,-1.2432874729669119,1.9849999999999999,-62.634129620499344
2018-04-23,3,Dhuri,4,0.30834484,False,0,0.49370481793959486,2.0967000000000002,23.546755279229018
2018-04-23,3,Lehra,4,0.30834484,False,0,0.7467284049527474,2.0474,36.472033064020096
2018-04-23,3,Malerkotla,4,0.30834484,False,0,0.43763493498012096,2.5812000000000004,16.95470846815903
2018-04-23,3,Moonak,4,0.30834484,False,0,2.438807313510768,1.9646,124.13760121708074
2018-04-23,3,Sangrur,4,0.30834484,False,0,-0.12057576167969009,1.826,-6.603272819260136
2018-04-23,3,Sunam,4,0.30834484,False,0,0.019476625678396253,2.0696,0.9410816427520416
2018-04-24,3,Dhuri,5,0.43763635,False,0,1.526652883936884,2.3125999999999998,66.01456732408909
2018-04-24,3,Lehra,5,0.43763635,False,0,3.179469493307672,2.3,138.2378040568553
2018-04-24,3,Malerkotla,5,0.43763635,False,0,1.8340878869438644,2.8246,64.93265902937988
2018-04-24,3,Moonak,5,0.43763635,False,0,3.9965938495001923,2.203,181.41597137994518
2018-04-24,3,Sangrur,5,0.43763635,False,0,0.8011125256834961,2.0543,38.99686149459651
2018-04-24,3,Sunam,5,0.43763635,False,0,2.0462302722637995,2.3091,88.61592275188599
2018-04-25,3,Dhuri,5,0.54760635,False,0,2.102539070862533,2.6441999999999997,79.51513012867912
2018-04-25,3,Lehra,5,0.54760635,False,0,3.1302945033556475,2.6305,118.99998111977372
2018-04-25,3,Malerkotla,5,0.54760635,False,0,2.4768552736664287,3.2418000000000005,76.40370391962577
2018-04-25,3,Moonak,5,0.54760635,False,0,3.8141715834561967,2.5395999999999996,150.18788720492194
2018-04-25,3,Sangrur,5,0.54760635,False,0,1.161974810552389,2.3691,49.04709849953101
2018-04-25,3,Sunam,5,0.54760635,False,0,2.165990326450863,2.6367,82.14777283918774
