forecast_date,url,status_code,available,content_length_bytes,content_length_mb,local_file_exists
2010-02-27,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/02/27/c3g_2010.02.27.tif,200.0,True,69610000.0,66.39,False
2010-02-28,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/02/28/c3g_2010.02.28.tif,200.0,True,69105890.0,65.9,False
2010-03-01,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/03/01/c3g_2010.03.01.tif,200.0,True,68717328.0,65.53,False
2010-03-02,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/03/02/c3g_2010.03.02.tif,200.0,True,69755374.0,66.52,False
2010-03-03,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/03/03/c3g_2010.03.03.tif,200.0,True,68562168.0,65.39,False
2010-03-04,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/03/04/c3g_2010.03.04.tif,200.0,True,75210420.0,71.73,False
2010-03-05,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/03/05/c3g_2010.03.05.tif,200.0,True,75282566.0,71.8,False
2010-03-06,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/03/06/c3g_2010.03.06.tif,200.0,True,67046570.0,63.94,False
2010-03-07,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/03/07/c3g_2010.03.07.tif,200.0,True,65410626.0,62.38,False
2010-03-08,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/03/08/c3g_2010.03.08.tif,200.0,True,75620088.0,72.12,False
2010-03-09,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/03/09/c3g_2010.03.09.tif,200.0,True,67832266.0,64.69,False
2010-03-10,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/03/10/c3g_2010.03.10.tif,200.0,True,74714088.0,71.25,False
2010-03-11,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/03/11/c3g_2010.03.11.tif,200.0,True,64659036.0,61.66,False
2010-03-12,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/03/12/c3g_2010.03.12.tif,200.0,True,67903238.0,64.76,False
2010-03-13,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/03/13/c3g_2010.03.13.tif,200.0,True,74751398.0,71.29,False
2010-03-14,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/03/14/c3g_2010.03.14.tif,200.0,True,68253884.0,65.09,False
2010-03-15,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/03/15/c3g_2010.03.15.tif,200.0,True,65901280.0,62.85,False
2010-03-16,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/03/16/c3g_2010.03.16.tif,200.0,True,67634602.0,64.5,False
2010-03-17,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/03/17/c3g_2010.03.17.tif,200.0,True,68351550.0,65.19,False
2010-03-18,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/03/18/c3g_2010.03.18.tif,200.0,True,67767752.0,64.63,False
2010-03-19,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/03/19/c3g_2010.03.19.tif,200.0,True,67284688.0,64.17,False
2010-03-20,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/03/20/c3g_2010.03.20.tif,200.0,True,74951184.0,71.48,False
2010-03-21,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/03/21/c3g_2010.03.21.tif,200.0,True,65959786.0,62.9,False
2010-03-22,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/03/22/c3g_2010.03.22.tif,200.0,True,74835876.0,71.37,False
2010-03-23,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/03/23/c3g_2010.03.23.tif,200.0,True,67794444.0,64.65,False
2010-03-24,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/03/24/c3g_2010.03.24.tif,200.0,True,74611496.0,71.16,False
2010-03-25,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/03/25/c3g_2010.03.25.tif,200.0,True,66138258.0,63.07,False
2010-03-26,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/03/26/c3g_2010.03.26.tif,200.0,True,73953656.0,70.53,False
2010-03-27,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/03/27/c3g_2010.03.27.tif,200.0,True,67550232.0,64.42,False
2010-03-28,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/03/28/c3g_2010.03.28.tif,200.0,True,68031928.0,64.88,False
2010-03-29,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/03/29/c3g_2010.03.29.tif,200.0,True,68352116.0,65.19,False
2010-03-30,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/03/30/c3g_2010.03.30.tif,200.0,True,67402452.0,64.28,False
