system:index,block,date,rainfall_mm,.geo
20100117_00000000000000000002,Malerkotla,2010-01-17,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100117_00000000000000000003,Moonak,2010-01-17,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100117_00000000000000000004,Sangrur,2010-01-17,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100117_00000000000000000005,Sunam,2010-01-17,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100118_00000000000000000000,Dhuri,2010-01-18,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100118_00000000000000000001,Lehra,2010-01-18,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100118_00000000000000000002,Malerkotla,2010-01-18,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100118_00000000000000000003,Moonak,2010-01-18,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100118_00000000000000000004,Sangrur,2010-01-18,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100118_00000000000000000005,Sunam,2010-01-18,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100119_00000000000000000000,Dhuri,2010-01-19,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100119_00000000000000000001,Lehra,2010-01-19,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100119_00000000000000000002,Malerkotla,2010-01-19,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100119_00000000000000000003,Moonak,2010-01-19,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100119_00000000000000000004,Sangrur,2010-01-19,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100119_00000000000000000005,Sunam,2010-01-19,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100120_00000000000000000000,Dhuri,2010-01-20,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100120_00000000000000000001,Lehra,2010-01-20,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100120_00000000000000000002,Malerkotla,2010-01-20,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100120_00000000000000000003,Moonak,2010-01-20,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100120_00000000000000000004,Sangrur,2010-01-20,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100120_00000000000000000005,Sunam,2010-01-20,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100121_00000000000000000000,Dhuri,2010-01-21,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100121_00000000000000000001,Lehra,2010-01-21,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100121_00000000000000000002,Malerkotla,2010-01-21,5.543865689625298E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100121_00000000000000000003,Moonak,2010-01-21,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100121_00000000000000000004,Sangrur,2010-01-21,0.011786750699882314,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100121_00000000000000000005,Sunam,2010-01-21,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100122_00000000000000000000,Dhuri,2010-01-22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100122_00000000000000000001,Lehra,2010-01-22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100122_00000000000000000002,Malerkotla,2010-01-22,1.549747745836309E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100122_00000000000000000003,Moonak,2010-01-22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100122_00000000000000000004,Sangrur,2010-01-22,0.003542163929898019,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100122_00000000000000000005,Sunam,2010-01-22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100123_00000000000000000000,Dhuri,2010-01-23,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100123_00000000000000000001,Lehra,2010-01-23,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100123_00000000000000000002,Malerkotla,2010-01-23,4.737780102351237E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100123_00000000000000000003,Moonak,2010-01-23,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100123_00000000000000000004,Sangrur,2010-01-23,0.013822166018233554,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100123_00000000000000000005,Sunam,2010-01-23,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100124_00000000000000000000,Dhuri,2010-01-24,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100124_00000000000000000001,Lehra,2010-01-24,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100124_00000000000000000002,Malerkotla,2010-01-24,3.2179119911493866E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100124_00000000000000000003,Moonak,2010-01-24,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100124_00000000000000000004,Sangrur,2010-01-24,0.006055149130878917,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100124_00000000000000000005,Sunam,2010-01-24,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100125_00000000000000000000,Dhuri,2010-01-25,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100125_00000000000000000001,Lehra,2010-01-25,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100125_00000000000000000002,Malerkotla,2010-01-25,8.37815039609441E-7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100125_00000000000000000003,Moonak,2010-01-25,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100125_00000000000000000004,Sangrur,2010-01-25,1.0020015801237545E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100125_00000000000000000005,Sunam,2010-01-25,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100126_00000000000000000000,Dhuri,2010-01-26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100126_00000000000000000001,Lehra,2010-01-26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100126_00000000000000000002,Malerkotla,2010-01-26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100126_00000000000000000003,Moonak,2010-01-26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100126_00000000000000000004,Sangrur,2010-01-26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100126_00000000000000000005,Sunam,2010-01-26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100127_00000000000000000000,Dhuri,2010-01-27,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100127_00000000000000000001,Lehra,2010-01-27,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100127_00000000000000000002,Malerkotla,2010-01-27,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100127_00000000000000000003,Moonak,2010-01-27,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100127_00000000000000000004,Sangrur,2010-01-27,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100127_00000000000000000005,Sunam,2010-01-27,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100128_00000000000000000000,Dhuri,2010-01-28,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100128_00000000000000000001,Lehra,2010-01-28,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100128_00000000000000000002,Malerkotla,2010-01-28,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100128_00000000000000000003,Moonak,2010-01-28,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100128_00000000000000000004,Sangrur,2010-01-28,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100128_00000000000000000005,Sunam,2010-01-28,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100129_00000000000000000000,Dhuri,2010-01-29,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100129_00000000000000000001,Lehra,2010-01-29,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100129_00000000000000000002,Malerkotla,2010-01-29,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100129_00000000000000000003,Moonak,2010-01-29,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100129_00000000000000000004,Sangrur,2010-01-29,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100129_00000000000000000005,Sunam,2010-01-29,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100130_00000000000000000000,Dhuri,2010-01-30,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100130_00000000000000000001,Lehra,2010-01-30,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100130_00000000000000000002,Malerkotla,2010-01-30,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100130_00000000000000000003,Moonak,2010-01-30,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100130_00000000000000000004,Sangrur,2010-01-30,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100130_00000000000000000005,Sunam,2010-01-30,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100131_00000000000000000000,Dhuri,2010-01-31,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100131_00000000000000000001,Lehra,2010-01-31,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100131_00000000000000000002,Malerkotla,2010-01-31,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100131_00000000000000000003,Moonak,2010-01-31,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100131_00000000000000000004,Sangrur,2010-01-31,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100131_00000000000000000005,Sunam,2010-01-31,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100201_00000000000000000000,Dhuri,2010-02-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100201_00000000000000000001,Lehra,2010-02-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100201_00000000000000000002,Malerkotla,2010-02-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100201_00000000000000000003,Moonak,2010-02-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100201_00000000000000000004,Sangrur,2010-02-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100201_00000000000000000005,Sunam,2010-02-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100202_00000000000000000000,Dhuri,2010-02-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100202_00000000000000000001,Lehra,2010-02-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100202_00000000000000000002,Malerkotla,2010-02-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100202_00000000000000000003,Moonak,2010-02-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100202_00000000000000000004,Sangrur,2010-02-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100202_00000000000000000005,Sunam,2010-02-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100203_00000000000000000000,Dhuri,2010-02-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100203_00000000000000000001,Lehra,2010-02-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100203_00000000000000000002,Malerkotla,2010-02-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100203_00000000000000000003,Moonak,2010-02-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100203_00000000000000000004,Sangrur,2010-02-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100203_00000000000000000005,Sunam,2010-02-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100204_00000000000000000000,Dhuri,2010-02-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100204_00000000000000000001,Lehra,2010-02-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100204_00000000000000000002,Malerkotla,2010-02-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100204_00000000000000000003,Moonak,2010-02-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100204_00000000000000000004,Sangrur,2010-02-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100204_00000000000000000005,Sunam,2010-02-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
